PIDLResourceType,PidlResourceIdentity,Operation,CountryIds,Scenario,DisplaySequenceId,DisplayStringSequenceId
paymentMethod,credit_card.visa,update,,,creditCardUpdate,creditCardStrings
paymentMethod,credit_card.amex,update,,,creditCardUpdate,creditCardStrings
paymentMethod,credit_card.mc,update,,,creditCardUpdate,creditCardStrings
paymentMethod,credit_card.discover,update,,,creditCardUpdate,creditCardStrings
paymentMethod,credit_card.jcb,update,,,creditCardUpdate,creditCardStrings
address,billingInternal,,{}A1A2A3CtStPcCo,,addressA1A2A3CtStPcCo,CommonStrings
address,billingInternal,,{}A1A2CtCnPcCo,,addressA1A2CtCnPcCo,CommonStrings
address,billingInternal,,{}A1A2CtCo,,addressA1A2CtCo,CommonStrings
address,billingInternal,,{}A1A2CtDtPcCo,,addressA1A2CtDtPcCo,CommonStrings
address,billingInternal,,{}A1A2CtPcCo,,addressA1A2CtPcCo,CommonStrings
address,billingInternal,,{}A1A2CtPcStCo,,addressA1A2CtPcStCo,CommonStrings
address,billingInternal,,{}A1A2CtPvPcCo,,addressA1A2CtPvPcCo,CommonStrings
address,billingInternal,,{}A1A2CtStPcCo,,addressA1A2CtStPcCo,CommonStrings
address,billingInternal,,{}A1A2PcStCtCo,,addressA1A2PcStCtCo,CommonStrings
address,billingInternal,,{}A1A2DtCtStPcCo,,addressA1A2DtCtStPcCo,CommonStrings
address,billingInternal,,{}A1A2PcCtCo,,addressA1A2PcCtCo,CommonStrings
address,billingInternal,,{}A1A2PcPvCtCo,,addressA1A2PcPvCtCo,CommonStrings
address,billingInternal,,{}A1CtPcCo,,addressA1CtPcCo,CommonStrings
address,billingInternal,,{}A1CtPcStCo,,addressA1CtPcStCo,CommonStrings
address,billingInternal,,{}CoCtA1A2,,addressCoCtA1A2,CommonStrings
address,billingInternal,,{}CoPcStCtA1A2,,addressCoPcStCtA1A2,CommonStrings
address,billingInternal,,{}CoPvCtDtA1A2Pc,,addressCoPvCtDtA1A2Pc,CommonStrings
address,billingInternal,,{}PcStCtA1A2Co,,addressPcStCtA1A2Co,CommonStrings
address,orgAddress,,,,orgAddressModern,ModernAddressStrings
address,orgAddressModern,,{}A1A2A3CtStPcCo,,orgAddressModernA1A2A3CtStPcCo,CommonStrings
address,orgAddressModern,,{}A1A2CtCnPcCo,,orgAddressModernA1A2CtCnPcCo,CommonStrings
address,orgAddressModern,,{}A1A2CtCo,,orgAddressModernA1A2CtCo,CommonStrings
address,orgAddressModern,,{}A1A2CtDtPcCo,,orgAddressModernA1A2CtDtPcCo,CommonStrings
address,orgAddressModern,,{}A1A2CtPcCo,,orgAddressModernA1A2CtPcCo,CommonStrings
address,orgAddressModern,,{}A1A2CtPcStCo,,orgAddressModernA1A2CtPcStCo,CommonStrings
address,orgAddressModern,,{}A1A2CtPvPcCo,,orgAddressModernA1A2CtPvPcCo,CommonStrings
address,orgAddressModern,,{}A1A2CtStPcCo,,orgAddressModernA1A2CtStPcCo,CommonStrings
address,orgAddressModern,,{}A1A2PcStCtCo,,orgAddressModernA1A2PcStCtCo,CommonStrings
address,orgAddressModern,,{}A1A2DtCtStPcCo,,orgAddressModernA1A2DtCtStPcCo,CommonStrings
address,orgAddressModern,,{}A1A2PcCtCo,,orgAddressModernA1A2PcCtCo,CommonStrings
address,orgAddressModern,,{}A1A2PcPvCtCo,,orgAddressModernA1A2PcPvCtCo,CommonStrings
address,orgAddressModern,,{}A1CtPcCo,,orgAddressModernA1CtPcCo,CommonStrings
address,orgAddressModern,,{}A1CtPcStCo,,orgAddressModernA1CtPcStCo,CommonStrings
address,orgAddressModern,,{}CoCtA1A2,,orgAddressModernCoCtA1A2,CommonStrings
address,orgAddressModern,,{}CoPcStCtA1A2,,orgAddressModernCoPcStCtA1A2,CommonStrings
address,orgAddressModern,,{}CoPvCtDtA1A2Pc,,orgAddressModernCoPvCtDtA1A2Pc,CommonStrings
address,orgAddressModern,,{}PcStCtA1A2Co,,orgAddressModernPcStCtA1A2Co,CommonStrings
paymentMethod,credit_card,show,,,paymentInstrumentShowCCSingleDisplayDescription,
paymentMethod,direct_debit.sepa,show,,,paymentInstrumentShowSepaSingleDisplayDescription,
paymentMethod,direct_debit.ach,show,,,paymentInstrumentShowAchSingleDisplayDescription,
paymentMethod,ewallet.paypal,show,,,paymentInstrumentShowPaypalSingleDisplayDescription,
paymentMethod,credit_card,search,,,creditCardSearch,CommonStrings
