PIDLResourceType,PidlResourceIdentity,Operation,CountryIds,Scenario,DisplaySequenceId,DisplayStringSequenceId
challenge,cvv,,,,challengecvvSequence,CommonStrings
challenge,cvv3,,,,challengecvv3Sequence,CommonStrings
challenge,cvv4,,,,challengecvv4Sequence,CommonStrings
paymentMethod,credit_card.visa,add,,,creditCardVisaAdd,creditCardStrings
paymentMethod,credit_card.amex,add,,,creditCardAmexAdd,creditCardStrings
paymentMethod,credit_card_amex_add_details,add,,,creditCardAmexAddDetails,
paymentMethod,credit_card_add_details,add,,,creditCardAddDetails,
paymentMethod,credit_card.mc,add,,,creditCardMCAdd,creditCardStrings
paymentMethod,credit_card.discover,add,,,creditCardDiscoverAdd,creditCardStrings
paymentMethod,credit_card.jcb,add,,,creditCardJCBAdd,creditCardStrings
paymentMethod,credit_card.hipercard,add,,,creditCardHipercardAdd,creditCardStrings
paymentMethod,credit_card.elo,add,,,creditCardEloAdd,creditCardStrings
paymentMethod,credit_card.verve,add,,,creditCardVerveAdd,creditCardStrings
address,billing,,profileAddressAutoSubmit,,profileAddressAutoSubmit,CommonStrings
address,internal,,{}A1A2A3CtStPcCo,,addressA1A2A3CtStPcCo,CommonStrings
address,internal,,{}A1A2CtCnPcCo,,addressA1A2CtCnPcCo,CommonStrings
address,internal,,{}A1A2CtCo,,addressA1A2CtCo,CommonStrings
address,internal,,{}A1A2CtDtPcCo,,addressA1A2CtDtPcCo,CommonStrings
address,internal,,{}A1A2CtPcCo,,addressA1A2CtPcCo,CommonStrings
address,internal,,{}A1A2CtPcStCo,,addressA1A2CtPcStCo,CommonStrings
address,internal,,{}A1A2CtPvPcCo,,addressA1A2CtPvPcCo,CommonStrings
address,internal,,{}A1A2PcPvCtCo,,addressA1A2PcPvCtCo,CommonStrings
address,internal,,{}A1A2CtStPcCo,,addressA1A2CtStPcCo,CommonStrings
address,internal,,{}A1A2PcStCtCo,,addressA1A2PcStCtCo,CommonStrings
address,internal,,{}A1A2DtCtStPcCo,,addressA1A2DtCtStPcCo,CommonStrings
address,internal,,{}A1A2PcCtCo,,addressA1A2PcCtCo,CommonStrings
address,internal,,{}A1CtPcCo,,addressA1CtPcCo,CommonStrings
address,internal,,{}A1CtPcStCo,,addressA1CtPcStCo,CommonStrings
address,internal,,{}CoCtA1A2,,addressCoCtA1A2,CommonStrings
address,internal,,{}CoPcStCtA1A2,,addressCoPcStCtA1A2,CommonStrings
address,internal,,{}CoPvCtDtA1A2Pc,,addressCoPvCtDtA1A2Pc,CommonStrings
address,internal,,{}PcStCtA1A2Co,,addressPcStCtA1A2Co,CommonStrings
