PIDLResourceType,PidlResourceIdentity,Operation,CountryIds,Scenario,DisplaySequenceId,DisplayStringSequenceId
checkout,credit_card.visa,add,,,creditCardVisaCheckoutAdd,creditCardStrings
checkout,credit_card.amex,add,,,creditCardAmexCheckoutAdd,creditCardStrings
checkout,credit_card.mc,add,,,creditCardMCCheckoutAdd,creditCardStrings
checkout,credit_card.discover,add,,,creditCardDiscoverCheckoutAdd,creditCardStrings
checkout,credit_card.jcb,add,,,creditCardJcbCheckoutAdd,creditCardStrings
checkout,credit_card.visa,add,,prepaidmeeting,creditCardVisaCheckoutPrepaidAdd,creditCardStrings
checkout,credit_card.amex,add,,prepaidmeeting,creditCardAmexCheckoutPrepaidAdd,creditCardStrings
checkout,credit_card.mc,add,,prepaidmeeting,creditCardMCCheckoutPrepaidAdd,creditCardStrings
checkout,credit_card.discover,add,,prepaidmeeting,creditCardDiscoverCheckoutPrepaidAdd,creditCardStrings
checkout,credit_card.jcb,add,,prepaidmeeting,creditCardJcbCheckoutPrepaidAdd,creditCardStrings
address,billingInternal,,{}A1A2A3CtStPcCo,,addressA1A2A3CtStPcCo,CommonStrings
address,billingInternal,,{}A1A2CtCnPcCo,,addressA1A2CtCnPcCo,CommonStrings
address,billingInternal,,{}A1A2CtCo,,addressA1A2CtCo,CommonStrings
address,billingInternal,,{}A1A2CtDtPcCo,,addressA1A2CtDtPcCo,CommonStrings
address,billingInternal,,{}A1A2CtPcCo,,addressA1A2CtPcCo,CommonStrings
address,billingInternal,,{}A1A2CtPcStCo,,addressA1A2CtPcStCo,CommonStrings
address,billingInternal,,{}A1A2CtPvPcCo,,addressA1A2CtPvPcCo,CommonStrings
address,billingInternal,,{}A1A2CtStPcCo,,addressA1A2CtStPcCo,CommonStrings
address,billingInternal,,{}A1A2PcStCtCo,,addressA1A2PcStCtCo,CommonStrings
address,billingInternal,,{}A1A2DtCtStPcCo,,addressA1A2DtCtStPcCo,CommonStrings
address,billingInternal,,{}A1A2PcCtCo,,addressA1A2PcCtCo,CommonStrings
address,billingInternal,,{}A1A2PcPvCtCo,,addressA1A2PcPvCtCo,CommonStrings
address,billingInternal,,{}A1CtPcCo,,addressA1CtPcCo,CommonStrings
address,billingInternal,,{}A1CtPcStCo,,addressA1CtPcStCo,CommonStrings
address,billingInternal,,{}CoCtA1A2,,addressCoCtA1A2,CommonStrings
address,billingInternal,,{}CoPcStCtA1A2,,addressCoPcStCtA1A2,CommonStrings
address,billingInternal,,{}CoPvCtDtA1A2Pc,,addressCoPvCtDtA1A2Pc,CommonStrings
address,billingInternal,,{}PcStCtA1A2Co,,addressPcStCtA1A2Co,CommonStrings
static,tppCheckoutErrorPidl,,,,paymentNotCompleted,CommonStrings
paymentMethod,tppSelectpm,select,,,paymentMethodSelect,CommonStrings
paymentMethod,tppSelectpm,select,,prepaidmeeting,paymentMethodSelectPrepaid,CommonStrings
checkout,ewallet.paypalRedirect,,,,paypal,CommonStrings
checkout,ewallet.paypalRedirect,,,prepaidmeeting,paypalPrepaid,CommonStrings
