PropertyHintId,CountryIds,TagKey,TagValue
expiryMonth,,theme,windows
,,accessibilityName,Expiration month
expiryYear,,theme,windows
,,accessibilityName,Expiration year
addressState,,theme,windows
,,accessibilityName,State
addressStateInline,,theme,windows
,,accessibilityName,State
addressProvince,{}AddressProvinceM,accessibilityName,Province
,{}AddressProvinceM,theme,windows
addressProvince,{}AddressProvinceO,accessibilityName,Province (Optional)
,{}AddressProvinceO,theme,windows
addressProvince,fr,accessibilityName,Department (Optional)
,fr,theme,windows
addressProvince,CA,accessibilityName,Province
,CA,theme,windows
addressProvince,CN,accessibilityName,Province
,CN,theme,windows
addressProvince,ES,accessibilityName,Province
,ES,theme,windows
addressProvince,bs,accessibilityName,Province (Optional)
,bs,theme,windows
addressProvince,bz,accessibilityName,Province
,bz,theme,windows
addressProvince,cr,accessibilityName,Province
,cr,theme,windows
addressProvince,hn,accessibilityName,Province
,hn,theme,windows
addressProvince,jm,accessibilityName,Province
,jm,theme,windows
addressProvince,tr,accessibilityName,Province (Optional)
,tr,theme,windows
addressProvince,ve,accessibilityName,Province (Optional)
,ve,theme,windows
addressProvinceInline,{}AddressProvinceM,accessibilityName,Province
,{}AddressProvinceM,theme,windows
addressProvinceInline,{}AddressProvinceO,accessibilityName,Province (Optional)
,{}AddressProvinceO,theme,windows
addressProvinceInline,CA,accessibilityName,Province
,CA,theme,windows
addressProvinceInline,CN,accessibilityName,Province
,CN,theme,windows
addressProvinceInline,ES,accessibilityName,Province
,ES,theme,windows
addressProvinceInline,bs,accessibilityName,Province (Optional)
,bs,theme,windows
addressProvinceInline,bz,accessibilityName,Province
,bz,theme,windows
addressProvinceInline,cr,accessibilityName,Province
,cr,theme,windows
addressProvinceInline,hn,accessibilityName,Province
,hn,theme,windows
addressProvinceInline,jm,accessibilityName,Province
,jm,theme,windows
addressProvinceInline,tr,accessibilityName,Province (Optional)
,tr,theme,windows
addressProvinceInline,ve,accessibilityName,Province (Optional)
,ve,theme,windows
addressCountry,,theme,windows
,,accessibilityName,Country/Region
creditCardVisaLogo,,accessibilityName,Visa
,,logoBlock,logoBlock
,,help.closeButtonAccessibilityName,Close
,,help.accessibilityName,Card Logos
creditCardAmexLogo,,accessibilityName,American Express
,,logoBlock,logoBlock
,,help.closeButtonAccessibilityName,Close
,,help.accessibilityName,Card Logos
creditCardMCLogo,,accessibilityName,MasterCard
,,logoBlock,logoBlock
,,help.closeButtonAccessibilityName,Close
,,help.accessibilityName,Card Logos
creditCardDiscoverLogo,,accessibilityName,Discover Network
,,logoBlock,logoBlock
,,help.closeButtonAccessibilityName,Close
,,help.accessibilityName,Card Logos
creditCardJCBLogo,,accessibilityName,JCB
,,logoBlock,logoBlock
,,help.closeButtonAccessibilityName,Close
,,help.accessibilityName,Card Logos
creditCardHiperLogo,,accessibilityName,Hipercard
,,logoBlock,logoBlock
,,help.closeButtonAccessibilityName,Close
