PropertyDescriptionId,CountryIds,PropertyType,DataType,DisplayProperty,IsKey,IsOptional,IsUpdatable,DataProtection,DefaultValue,PossibleValues,PidlDownloadEnabled,PidlDownloadParameter,DisplayOnly,Scenario
address_city,ly,userData,string,,,,TRUE,,,,,,,
address_zip_postalcode,cl,userData,string,,,FALSE,TRUE,,,,,,,
address_zip_postalcode,mr,userData,string,,,FALSE,TRUE,,,,,,,
address_zip_postalcode,tj,userData,string,,,FALSE,TRUE,,,,,,,
address_zip_postalcode,tt,userData,string,,,FALSE,TRUE,,,,,,,
address_zip_postalcode,sv,userData,string,,,,TRUE,,,,,,,
address_state_state,bd,userData,string,,,,TRUE,,,,,,,
address_state_state,ch,userData,string,,,,TRUE,,,,,,,
address_state_state,gt,userData,string,,,,TRUE,,,,,,,
address_state_state,pa,userData,string,,,,TRUE,,,,,,,
address_state_province,by,userData,string,,,,TRUE,,,,,,,
address_state_province,kz,userData,string,,,,TRUE,,,,,,,
address_state_province,bs,userData,string,,,,TRUE,,,{}BSProvinces,,,,
address_state_province,cr,userData,string,,,,TRUE,,,{}CRProvinces,,,,
address_state_province,hn,userData,string,,,,TRUE,,,{}HNProvinces,,,,
address_state_province,jm,userData,string,,,,TRUE,,,{}JMProvinces,,,,
address_state_province,tr,userData,string,,,,TRUE,,,{}TRProvinces,,,,
address_state_province,ve,userData,string,,,,TRUE,,,{}VEProvinces,,,,
address_first_name,,userData,string,,,,TRUE,,,,,,,
address_last_name,,userData,string,,,,TRUE,,,,,,,
cvv_3_update,,userData,string,,,,TRUE,cvv,,,,,,includecvv
cvv_4_update,,userData,string,,,,TRUE,cvv,,,,,,includecvv
