PropertyHintId,CountryIds,TagKey,TagValue
expiryMonth,,theme,windows
,,accessibilityName,Expiration month
expiryYear,,theme,windows
,,accessibilityName,Expiration year
addressState,,theme,windows
,,accessibilityName,State
,,col-6,col-6
addressProvince,{}AddressProvinceM,accessibilityName,Province
,{}AddressProvinceM,theme,windows
,{}AddressProvinceM,col-6,col-6
addressProvince,{}AddressProvinceO,accessibilityName,Province (Optional)
,{}AddressProvinceO,theme,windows
,{}AddressProvinceO,col-6,col-6
addressProvince,CA,accessibilityName,Province
,CA,theme,windows
,CA,col-6,col-6
addressProvince,fr,accessibilityName,Department (Optional)
,fr,theme,windows
,fr,col-6,col-6
addressProvince,CN,accessibilityName,Province
,CN,theme,windows
,CN,col-6,col-6
addressProvince,ES,accessibilityName,Province
,ES,theme,windows
,ES,col-6,col-6
addressProvince,bs,accessibilityName,Province (Optional)
,bs,theme,windows
,bs,col-6,col-6
addressProvince,bz,accessibilityName,Province
,bz,theme,windows
,bz,col-6,col-6
addressProvince,cr,accessibilityName,Province
,cr,theme,windows
,cr,col-6,col-6
addressProvince,hn,accessibilityName,Province
,hn,theme,windows
,hn,col-6,col-6
addressProvince,jm,accessibilityName,Province
,jm,theme,windows
,jm,col-6,col-6
addressProvince,tr,accessibilityName,Province (Optional)
,tr,theme,windows
,tr,col-6,col-6
addressProvince,ve,accessibilityName,Province (Optional)
,ve,theme,windows
,ve,col-6,col-6
addressCountry,,theme,windows
,,accessibilityName,Country/region
,,col-6,col-6
idealBillingAgreementSelectBank,,theme,windows
,,full-height,full-height
creditCardVisaLogo,,accessibilityName,Visa
creditCardAmexLogo,,accessibilityName,American Express
creditCardMCLogo,,accessibilityName,MasterCard
creditCardDiscoverLogo,,accessibilityName,Discover Network
creditCardJCBLogo,,accessibilityName,JCB
,,logo-large,logo-large
,,parent.floatX-right,floatX-right
attLogo,,accessibilityName,AT&T
sptLogo,,accessibilityName,Sprint
cardholderName,,accessibilityName,Cardholder name
cardNumber,,accessibilityName,Card number
,,maxLengthMessage,Maximum length for card number field reached.
cardNumberAmex,,accessibilityName,Card number
,,maxLengthMessage,Maximum length for card number field reached.
cardNumberCup,,accessibilityName,Card number
,,maxLengthMessage,Maximum length for card number field reached.
lastFourDigits,,accessibilityName,Last four digits of card number
cvv,,accessibilityName,CVV
,,col-3,col-3
,,help.dialog-large,dialog-large
,,maxLengthMessage,Maximum length for CVV field reached.
,,help.closeButtonAccessibilityName,"CVV is the Card Verification Value on your credit or debit card. On Visa, MasterCard and Discover cards, CVV is the last 3 numbers on the back of your card. On American Express cards, CVV is a 4 digit number on the front of the card, above the main card number. Close."
,,help.accessibilityName,''
,,help.linkAccessibilityName,What is a CVV?
cvvCup,,accessibilityName,CV/N2
,,col-3,col-3
,,help.dialog-medium,dialog-medium
,,maxLengthMessage,Maximum length for field reached.
,,help.closeButtonAccessibilityName,Close
