PropertyDescriptionId,CountryIds,PropertyType,DataType,DisplayProperty,IsKey,IsOptional,IsUpdatable,DataProtection,DefaultValue,PossibleValues,PidlDownloadEnabled,PidlDownloadParameter,DisplayOnly,Scenario
address_first_name,,userData,string,,,,TRUE,,,,,,,
address_last_name,,userData,string,,,,TRUE,,,,,,,
useRedeemPoints,,userData,bool,,,TRUE,TRUE,,FALSE,,,,,
useCsv,,userData,bool,,,TRUE,TRUE,,FALSE,,,,,
csvTotal,,userData,string,,,TRUE,TRUE,,,,,,,
csvCurrency,,userData,string,,,TRUE,TRUE,,,,,,,
csvPiid,,userData,string,,,TRUE,TRUE,,,,,,,
csvBalance,,userData,string,,,TRUE,TRUE,,,,,,,
formattedCsvTotal,,userData,string,,,TRUE,TRUE,,,,,,,
pointsValueTotal,,userData,string,,,TRUE,TRUE,,,,,,,
pointsValueCurrency,,userData,string,,,TRUE,TRUE,,,,,,,
formattedPointsValueTotal,,userData,string,,,TRUE,TRUE,,,,,,,
redeemMSRewardsPhoneChallengePhoneNumber,,userData,string,,,,TRUE,,,,,,,
catalogItem,,userData,string,,,TRUE,TRUE,,,,,,,
catalogItemAmount,,userData,number,,,TRUE,TRUE,,,,,,,
challengePreference,,userData,string,,,TRUE,TRUE,,,,,,,
challengePreferenceOptions,,userData,string,,,TRUE,TRUE,,,{}redeemMSRewardsContactMethods,,,,
solveCode,,userData,string,,,FALSE,TRUE,,,,,,,
challengeToken,,userData,string,,,TRUE,TRUE,,,,,,,
phoneNumber,,userData,string,,,TRUE,TRUE,,,,,,,
