PropertyHintId,CountryIds,MessageSource,DefaultErrorMessage,ErrorRegEx,ErrorCode,ErrorMessage
cardNumber,,fromRegex,Incorrectly formatted Card number,\s,invalid_card_number_has_spaces,No spaces are allowed in the card number
,,fromErrorCode,,,required_field_empty,Card number is a required field
cardNumberAmex,,fromRegex,Incorrectly formatted Card number,\s,invalid_card_number_has_spaces,No spaces are allowed in the card number
,,fromErrorCode,,,required_field_empty,Card number is a required field
cardNumberCup,,fromRegex,Incorrectly formatted Card number,\s,invalid_card_number_has_spaces,No spaces are allowed in the card number
,,fromErrorCode,,,required_field_empty,Card number is a required field
cardholderName,,fromErrorCode,Incorrectly formatted cardholder name,,required_field_empty,Cardholder name is a required field
expiryMonth,,fromErrorCode,Incorrectly formatted Expiry month,,required_field_empty,Expiration month is a required field
expiryYear,,fromErrorCode,Incorrectly formatted Expiry year,,required_field_empty,Expiration year is a required field
cvv,,fromErrorCode,Invalid card verification code,,required_field_empty,CVV is a required field
cvvCup,,fromErrorCode,Invalid card verification code,,required_field_empty,CV/N2 is a required field
phoneNumber,,fromErrorCode,Incorrectly formatted phone number,,required_field_empty,Phone number is required.
non_sim_mobi_phone_number,,fromErrorCode,Incorrectly formatted phone number,,required_field_empty,Your phone number is a required field
addressLine1,,fromErrorCode,Incorrectly formatted address,,required_field_empty,Address line 1 is a required field
addressline2,,fromErrorCode,Incorrectly formatted address,,required_field_empty,Address line 2 is a required field
addressCity,,fromErrorCode,Incorrectly formatted address,,required_field_empty,City is a required field
addressState,,fromErrorCode,Incorrectly formatted address,,required_field_empty,State is a required field
addressCounty,,fromErrorCode,Incorrectly formatted address,,required_field_empty,A required field is empty
addressProvince,,fromErrorCode,Incorrectly formatted address,,required_field_empty,Province is a required field
addressPostalCode,,fromErrorCode,Incorrectly formatted address,,required_field_empty,Postal Code is a required field
addressCountry,,fromErrorCode,Incorrectly formatted address,,required_field_empty,Country/Region is a required field
idealBillingAgreementSelectBank,,fromErrorCode,Incorrectly formatted Bank name,,required_field_empty,Make sure to select your bank's name
smsChallengeCode,,fromErrorCode,Check and re-enter the code. The code you entered is not valid.,,required_field_empty,Make sure to enter the verification code
taxIndiaStateGstIdProperty,,fromErrorCode,Invalid India State GST ID,,invalid_india_state_gst_id_format,Invalid India State GST ID
taxIndiaPanIdProperty,,fromErrorCode,Invalid India PAN ID,,invalid_india_pan_id_format,Invalid India PAN ID
