PropertyHintId,CountryIds,MessageSource,DefaultErrorMessage,ErrorRegEx,ErrorCode,ErrorMessage
cardNumber,,fromRegex,Invalid card number,\s,invalid_card_number_has_spaces,No spaces are allowed in the card number
,,fromErrorCode,Invalid card number,,required_field_empty,Card number is a required field
cardNumberAmex,,fromRegex,Invalid card number,\s,invalid_card_number_has_spaces,No spaces are allowed in the card number
,,fromErrorCode,Invalid card number,,required_field_empty,Card number is a required field
cardholderName,,fromErrorCode,Incorrectly formatted cardholder name,,required_field_empty,Cardholder name is a required field
,,fromRegex,Incorrectly formatted cardholder name,^\s*$,required_field_empty,Cardholder name is a required field
expiryMonth,,fromErrorCode,Expiration month is a required field,,required_field_empty,Expiration month is a required field
expiryYear,,fromErrorCode,Expiration year is a required field,,required_field_empty,Expiration year is a required field
cvv,,fromErrorCode,Invalid card verification code,,required_field_empty,CVV is a required field
addressLine1,,fromErrorCode,Incorrectly formatted address,,required_field_empty,Address line 1 is a required field
addressLine2,,fromErrorCode,Incorrectly formatted address,,required_field_empty,Address line 2 is a required field
addressCity,,fromErrorCode,Incorrectly formatted city,,required_field_empty,City is a required field
addressState,,fromErrorCode,Incorrectly formatted state,,required_field_empty,State is a required field
addressCounty,,fromErrorCode,Incorrectly formatted state,,required_field_empty,A required field is empty
addressProvince,,fromErrorCode,Incorrectly formatted state,,required_field_empty,Province is a required field
addressPostalCode,,fromErrorCode,Incorrectly formatted postal code,,required_field_empty,Postal Code is a required field
addressPostalCode,US,fromErrorCode,Incorrectly formatted zip code,,required_field_empty,ZIP Code is a required field
addressCountry,,fromErrorCode,Incorrectly formatted country,,required_field_empty,Country/Region is a required field
