ResourceAction,PaymentMethodFamily,PaymentMethodType,Country,ContainedIn_Partner,Partner,Message,ErrorCode,DetailsErrorCode,DetailsMessage,DetailsTarget,ClientAction
PostModernPI,credit_card,PaymentMethodType.UnionPayCreditCard,,,,ClientActionContract.NoMessage,CupErrorCodes.ValidationFailed,,CupErrorMessages.InvalidPhoneOrCard,CupErrorTargets.CardNumber,
,,PaymentMethodType.UnionPayDebitCard,,,,,CupErrorCodes.InvalidPhoneValue,,,CupErrorTargets.PhoneNumber,
,,,,,,ClientActionContract.NoMessage,CupErrorCodes.InvalidPaymentInstrumentInfo,,CupErrorMessages.InvalidCardNumber,CupErrorTargets.CardNumber,
,,,,,,CupErrorMessages.TooManySmsRequests,CupErrorCodes.TooManyOperations,,,,
,,,,,,CupErrorMessages.Generic,,,,,
,ewallet,PaymentMethodType.PayPal,,,,ClientActionContract.NoMessage,PayPalErrorCodes.IncorrectCredential,,PayPalErrorMessages.IncorrectCredential,PayPalErrorTargets.Email,
,,,,,,,,,,PayPalErrorTargets.Password,
,,,,,,PayPalErrorMessages.Generic,,,,,
,credit_card,PaymentMethodType.CreditCardAmericanExpress,,FALSE,PartnerName.Wallet,ClientActionContract.NoMessage,CreditCardErrorCodes.InvalidPaymentInstrumentInfo,,CreditCardErrorMessages.InvalidCardNumber,CreditCardErrorTargets.CardNumber,
,,PaymentMethodType.CreditCardDiscover,,,,ClientActionContract.NoMessage,CreditCardErrorCodes.PrepaidCardNotSupported,,CreditCardErrorMessages.PrepaidCardNotSupported,CreditCardErrorTargets.CardNumber,
,,PaymentMethodType.CreditCardVisa,,,,ClientActionContract.NoMessage,CreditCardErrorCodes.InvalidCvv,,CreditCardErrorMessages.InvalidCvv,CreditCardErrorTargets.Cvv,
,,PaymentMethodType.CreditCardMasterCard,,,,ClientActionContract.NoMessage,CreditCardErrorCodes.InvalidAccountHolder,,CreditCardErrorMessages.InvalidAccountHolder,CreditCardErrorTargets.AccountHolderName,
,,,,,,ClientActionContract.NoMessage,CreditCardErrorCodes.ExpiredCard,,CreditCardErrorMessages.ExpiredCard,CreditCardErrorTargets.ExpiryMonth,
,,,,,,,,,,CreditCardErrorTargets.ExpiryYear,
,,,,,,ClientActionContract.NoMessage,CreditCardErrorCodes.InvalidExpiryDate,,CreditCardErrorMessages.InvalidExpiryDate,CreditCardErrorTargets.ExpiryMonth,
,,,,,,,,,,CreditCardErrorTargets.ExpiryYear,
,,,,,,ClientActionContract.NoMessage,CreditCardErrorCodes.InvalidCity,,CreditCardErrorMessages.InvalidCity,CreditCardErrorTargets.City,
,,,,,,ClientActionContract.NoMessage,CreditCardErrorCodes.InvalidState,,CreditCardErrorMessages.InvalidState,CreditCardErrorTargets.State,
