PropertyHintId,CountryIds,MessageSource,DefaultErrorMessage,ErrorRegEx,ErrorCode,ErrorMessage
cardNumber,,fromRegex,Invalid card number,\s,invalid_card_number_has_spaces,No spaces are allowed in the card number
,,fromErrorCode,Invalid card number,,required_field_empty,Enter your card number
cardNumberAmex,,fromRegex,Invalid card number,\s,invalid_card_number_has_spaces,No spaces are allowed in the card number
,,fromErrorCode,Invalid card number,,required_field_empty,Enter your card number
cardNumberCup,,fromRegex,Invalid card number,\s,invalid_card_number_has_spaces,No spaces are allowed in the card number
,,fromErrorCode,Invalid card number,,required_field_empty,Card number is a required field
cardNumberCupInternational,,fromRegex,Invalid card number,\s,invalid_card_number_has_spaces,No spaces are allowed in the card number
,,fromErrorCode,Invalid card number,,required_field_empty,Card number is a required field
cardholderName,,fromErrorCode,Incorrectly formatted cardholder name,,required_field_empty,Enter your cardholder name
,,fromRegex,Incorrectly formatted cardholder name,^\s*$,required_field_empty,Enter your cardholder name
directDebitAchAccountholderName,,fromErrorCode,Incorrectly formatted name on account,,required_field_empty,Name on account is a required field
,,fromRegex,Incorrectly formatted name on account,^\s*$,required_field_empty,Name on account is a required field
directDebitSepaAccountholderName,,fromErrorCode,Incorrectly formatted name on account,,required_field_empty,Name on account is a required field
,,fromRegex,Incorrectly formatted name on account,^\s*$,required_field_empty,Name on account is a required field
expiryMonth,,fromErrorCode,Pick your expiration month,,required_field_empty,Pick your expiration month
expiryYear,,fromErrorCode,Pick your expiration year,,required_field_empty,Pick your expiration year
cvv,,fromErrorCode,Invalid card verification code,,required_field_empty,Enter your security code
cvvCup,,fromErrorCode,Invalid card verification code,,required_field_empty,CV/N2 is a required field
cvvCupInternational,,fromErrorCode,Invalid card verification code,,required_field_empty,CVV is a required field
cupPhoneNumber,,fromRegex,Mobile number must be 11 digits,^.{11}$,invalid_phone_number,Check the phone number.
,,fromErrorCode,,,required_field_empty,The phone number associated with your bank account is a required field
non_sim_mobi_phone_operator,,fromErrorCode,Mobile operator is a required field,,required_field_empty,Mobile operator is a required field
non_sim_mobi_phone_number,,fromErrorCode,Incorrectly formatted phone number,,required_field_empty,Your phone number is a required field
addressLine1,,fromErrorCode,Incorrectly formatted address,,required_field_empty,Enter the first line of your address
addressLine2,,fromErrorCode,Incorrectly formatted address,,required_field_empty,Enter the second line of your address
addressCity,,fromErrorCode,Incorrectly formatted city,,required_field_empty,Enter your city
addressState,,fromErrorCode,Incorrectly formatted state,,required_field_empty,Enter your state
shippingAddressState,,fromErrorCode,Incorrectly formatted state,,required_field_empty,Enter your state
addressCounty,,fromErrorCode,Incorrectly formatted state,,required_field_empty,A required field is empty
addressCountyGB,gb,fromErrorCode,Incorrectly formatted state,,required_field_empty,A required field is empty
addressProvince,,fromErrorCode,Incorrectly formatted state,,required_field_empty,Province is a required field
addressPostalCode,,fromErrorCode,Incorrectly formatted postal code,,required_field_empty,Enter your postal code
