PIDLResourceType,PidlResourceIdentity,Operation,CountryIds,Scenario,DisplaySequenceId,DisplayStringSequenceId
challenge,cvv,,,,challengecvvSequence,CommonStrings
challenge,creditCardQrCode,,,,creditCardQrCodeSequence,CommonStrings
paymentMethod,credit_card.visa,add,,,creditCardVisaAdd,creditCardStrings
paymentMethod,credit_card.amex,add,,,creditCardAmexAdd,creditCardStrings
paymentMethod,credit_card.mc,add,,,creditCardMCAdd,creditCardStrings
paymentMethod,credit_card.discover,add,,,creditCardDiscoverAdd,creditCardStrings
paymentMethod,credit_card.hipercard,add,,,creditCardHiperAdd,creditCardStrings
paymentMethod,credit_card.jcb,add,,,creditCardJCBAdd,creditCardStrings
paymentMethod,credit_card.elo,add,,,creditCardEloAdd,creditCardStrings
paymentMethod,credit_card.verve,add,,,creditCardVerveAdd,creditCardStrings
paymentMethod,credit_card.visa,add,,addCCQrCode,creditCardVisaAddWithQrCode,creditCardStrings
paymentMethod,credit_card.mc,add,,addCCQrCode,creditCardMCAddWithQrCode,creditCardStrings
paymentMethod,credit_card.discover,add,,addCCQrCode,creditCardDiscoverAddWithQrCode,creditCardStrings
paymentMethod,credit_card.amex,add,,addCCQrCode,creditCardAmexAddWithQrCode,creditCardStrings
paymentMethod,credit_card.hipercard,add,,addCCQrCode,creditCardHipercardAddWithQrCode,creditCardStrings
paymentMethod,credit_card.verve,add,,addCCQrCode,creditCardVerveAddWithQrCode,creditCardStrings
paymentMethod,credit_card.elo,add,,addCCQrCode,creditCardEloAddWithQrCode,creditCardStrings
paymentMethod,credit_card.jcb,add,,addCCQrCode,creditCardJCBAddWithQrCode,creditCardStrings
address,billing,,profileAddressAutoSubmit,,profileAddressAutoSubmit,CommonStrings
address,billingInternal,,{}A1A2A3CtStPcCo,,xboxBillingAddressA1A2A3CtStPcCoWithContainer,CommonStrings
address,billingInternal,,{}A1A2CtCnPcCo,,xboxBillingAddressA1A2CtCnPcCoWithContainer,CommonStrings
address,billingInternal,,{}A1A2CtCo,,xboxBillingAddressA1A2CtCoWithContainer,CommonStrings
address,billingInternal,,{}A1A2CtDtPcCo,,xboxBillingAddressA1A2CtDtPcCoWithContainer,CommonStrings
