PropertyHintId,CountryIds,TagKey,TagValue
expiryMonth,,theme,windows
,,accessibilityName,Expiration month
expiryYear,,theme,windows
,,accessibilityName,Expiration year
addressState,,theme,windows
,,accessibilityName,State
addressProvince,{}AddressProvinceM,accessibilityName,Province
,{}AddressProvinceM,theme,windows
addressProvince,{}AddressProvinceO,accessibilityName,Province (Optional)
,{}AddressProvinceO,theme,windows
addressProvince,CA,accessibilityName,Province
,CA,theme,windows
addressProvince,fr,accessibilityName,Department (Optional)
,fr,theme,windows
addressProvince,CN,accessibilityName,Province
,CN,theme,windows
addressProvince,ES,accessibilityName,Province
,ES,theme,windows
addressProvince,bs,accessibilityName,Province (Optional)
,bs,theme,windows
addressProvince,bz,accessibilityName,Province
,bz,theme,windows
addressProvince,cr,accessibilityName,Province
,cr,theme,windows
addressProvince,hn,accessibilityName,Province
,hn,theme,windows
addressProvince,jm,accessibilityName,Province
,jm,theme,windows
addressProvince,tr,accessibilityName,Province (Optional)
,tr,theme,windows
addressProvince,ve,accessibilityName,Province (Optional)
,ve,theme,windows
addressCountry,,theme,windows
,,accessibilityName,Country/Region
idealBillingAgreementSelectBank,,theme,windows
,,full-height,full-height
modernIdealLogo,,accessibilityName,iDEAL
idealSelectBankDescriptionText2,,bold,text-bold
modernIdealBillingAgreementTextGroup,,bottom-text,bottom-text
creditCardVisaLogo,,accessibilityName,Visa
,,logoBlock,logoBlock
,,help.closeButtonAccessibilityName,Close
,,help.accessibilityName,Card Logos
creditCardAmexLogo,,accessibilityName,American Express
,,logoBlock,logoBlock
,,help.closeButtonAccessibilityName,Close
,,help.accessibilityName,Card Logos
creditCardMCLogo,,accessibilityName,MasterCard
,,logoBlock,logoBlock
,,help.closeButtonAccessibilityName,Close
,,help.accessibilityName,Card Logos
creditCardDiscoverLogo,,accessibilityName,Discover Network
,,logoBlock,logoBlock
,,help.closeButtonAccessibilityName,Close
,,help.accessibilityName,Card Logos
creditCardJCBLogo,,accessibilityName,JCB
,,logoBlock,logoBlock
,,help.closeButtonAccessibilityName,Close
,,help.accessibilityName,Card Logos
creditCardShinhanLogo,,accessibilityName,Shinhan
,,logoBlock,logoBlock
,,help.closeButtonAccessibilityName,Close
,,help.accessibilityName,Card Logos
creditCardBCLogo,,accessibilityName,BC
,,logoBlock,logoBlock
,,help.closeButtonAccessibilityName,Close
,,help.accessibilityName,Card Logos
creditCardKBKook-minLogo,,accessibilityName,KB Kook-min
,,logoBlock,logoBlock
,,help.closeButtonAccessibilityName,Close
,,help.accessibilityName,Card Logos
creditCardSamsungLogo,,accessibilityName,Samsung
,,logoBlock,logoBlock
,,help.closeButtonAccessibilityName,Close
,,help.accessibilityName,Card Logos
creditCardHyundaiLogo,,accessibilityName,Hyundai
,,logoBlock,logoBlock
,,help.closeButtonAccessibilityName,Close
,,help.accessibilityName,Card Logos
creditCardLotteLogo,,accessibilityName,Lotte
