PIDLResourceType,PidlResourceIdentity,Operation,CountryIds,Scenario,DisplaySequenceId,DisplayStringSequenceId
paymentMethod,mobile_billing_non_sim,add,,,mobile_billing_non_sim,
challenge,sms,,,,smsChallengeSequence,
challenge,cvv,,,,challengecvvSequence,
challenge,cvv3,,,,challengecvv3Sequence,
challenge,cvv4,,,,challengecvv4Sequence,
challenge,ach_picv,,,,achPicvChallengeSequence,
challenge,sepa_picv,,,,sepaPicvChallengeSequence,
challenge,paypalUpdateAgreementChallenge,,,,paypalUpdateAgreementDisplayDescription,
paymentMethod,credit_card.visa,add,,,creditCardVisaAdd,creditCardStrings
paymentMethod,credit_card.visa,update,,,creditCardUpdate,creditCardStrings
paymentMethod,credit_card.amex,add,,,creditCardAmexAdd,creditCardStrings
paymentMethod,credit_card.amex,update,,,creditCardUpdate,creditCardStrings
paymentMethod,credit_card.mc,add,,,creditCardMCAdd,creditCardStrings
paymentMethod,credit_card.mc,update,,,creditCardUpdate,creditCardStrings
paymentMethod,credit_card.discover,add,,,creditCardDiscoverAdd,creditCardStrings
paymentMethod,credit_card.discover,update,,,creditCardUpdate,creditCardStrings
paymentMethod,credit_card.jcb,add,,,creditCardJCBAdd,creditCardStrings
paymentMethod,credit_card.jcb,update,,,creditCardUpdate,creditCardStrings
paymentMethod,credit_card.unionpay_creditcard,add,,,creditCardCupAdd,creditCardStrings
paymentMethod,credit_card.unionpay_creditcard,update,,,creditCardCupUpdate,creditCardStrings
paymentMethod,credit_card.unionpay_debitcard,add,,,debitCardCupAdd,creditCardStrings
paymentMethod,credit_card.unionpay_debitcard,update,,,debitCardCupUpdate,creditCardStrings
paymentMethod,ewallet.alipayEmail,,cn,,alipayEmailBillingAgreement,
paymentMethod,ewallet.alipayMobile,,cn,,alipayMobileBillingAgreement,
paymentMethod,ewallet.ideal_billing_agreement,,nl,,idealBillingAgreement,
paymentMethod,direct_debit.ideal_billing_agreement,,nl,,idealBillingAgreement,
paymentMethod,ewallet.paypalRedirect,,,,paypal,
paymentInstrument,selectpi,selectinstance,,,paymentInstrumentSelect,
paymentInstrument,selectpinone,selectinstance,,,noPaymentInstrumentSelect,
paymentInstrument,selectpibackup,selectinstance,,,backupPaymentInstrumentSelect,
paymentInstrument,selectsinglepicsv,selectsingleinstance,,,singlePaymentInstrumentCsv,
paymentInstrument,selectsinglepinone,selectsingleinstance,,,noPaymentInstrumentSelect,
paymentInstrument,selectsinglepinoactive,selectsingleinstance,,,noActivePaymentInstrumentSelect,
paymentInstrument,selectsinglepi,selectsingleinstance,,,singlePaymentInstrumentSelect,
paymentInstrument,selectsinglebackup,selectsingleinstance,,,singleBackupSelect,
paymentMethod,selectpm,select,,,paymentMethodSelect,
static,idealredirectpidl,,,,idealredirectDisplayDescription,
static,achPicvStatic,,,,achPicvStaticDisplayDescription,
static,sepaPicvStatic,,,,sepaPicvStaticDisplayDescription,
paymentMethod,direct_debit.sepa,add,,,directDebitSepaAdd,
paymentMethod,direct_debit.ach,add,,,directDebitAchAdd,
address,billing,,{}A1A2A3CtStPcCo,,addressA1A2A3CtStPcCoWithButton,profileAddressStrings
address,billing,,{}A1A2CtCnPcCo,,addressA1A2CtCnPcCoWithButton,profileAddressStrings
address,billing,,{}A1A2CtCo,,addressA1A2CtCoWithButton,profileAddressStrings
address,billing,,{}A1A2CtDtPcCo,,addressA1A2CtDtPcCoWithButton,profileAddressStrings
address,billing,,{}A1A2CtPcCo,,addressA1A2CtPcCoWithButton,profileAddressStrings
address,billing,,{}A1A2CtPcStCo,,addressA1A2CtPcStCoWithButton,profileAddressStrings
address,billing,,{}A1A2CtPvPcCo,,addressA1A2CtPvPcCoWithButton,profileAddressStrings
address,billing,,{}A1A2CtStPcCo,,addressA1A2CtStPcCoWithButton,profileAddressStrings
address,billing,,{}A1A2PcStCtCo,,addressA1A2PcStCtCoWithButton,profileAddressStrings
address,billing,,{}A1A2DtCtStPcCo,,addressA1A2DtCtStPcCoWithButton,profileAddressStrings
address,billing,,{}A1A2PcCtCo,,addressA1A2PcCtCoWithButton,profileAddressStrings
address,billing,,{}A1A2PcPvCtCo,,addressA1A2PcPvCtCoWithButton,profileAddressStrings
address,billing,,{}A1CtPcCo,,addressA1CtPcCoWithButton,profileAddressStrings
address,billing,,{}A1CtPcStCo,,addressA1CtPcStCoWithButton,profileAddressStrings
address,billing,,{}CoCtA1A2,,addressCoCtA1A2WithButton,profileAddressStrings
address,billing,,{}CoPcStCtA1A2,,addressCoPcStCtA1A2WithButton,profileAddressStrings
address,billing,,{}CoPvCtDtA1A2Pc,,addressCoPvCtDtA1A2PcWithButton,profileAddressStrings
address,billing,,{}PcStCtA1A2Co,,addressPcStCtA1A2CoWithButton,profileAddressStrings
address,billing,,profileAddressAutoSubmit,,profileAddressAutoSubmit,
address,billingInternal,,{}A1A2A3CtStPcCo,,addressA1A2A3CtStPcCo,
address,billingInternal,,{}A1A2CtCnPcCo,,addressA1A2CtCnPcCo,
address,billingInternal,,{}A1A2CtCo,,addressA1A2CtCo,
address,billingInternal,,{}A1A2CtDtPcCo,,addressA1A2CtDtPcCo,
address,billingInternal,,{}A1A2CtPcCo,,addressA1A2CtPcCo,
address,billingInternal,,{}A1A2CtPcStCo,,addressA1A2CtPcStCo,
address,billingInternal,,{}A1A2CtPvPcCo,,addressA1A2CtPvPcCo,
address,billingInternal,,{}A1A2CtStPcCo,,addressA1A2CtStPcCo,
address,billingInternal,,{}A1A2PcStCtCo,,addressA1A2PcStCtCo,
address,billingInternal,,{}A1A2DtCtStPcCo,,addressA1A2DtCtStPcCo,
address,billingInternal,,{}A1A2PcCtCo,,addressA1A2PcCtCo,
address,billingInternal,,{}A1A2PcPvCtCo,,addressA1A2PcPvCtCo,
address,billingInternal,,{}A1CtPcCo,,addressA1CtPcCo,
address,billingInternal,,{}A1CtPcStCo,,addressA1CtPcStCo,
address,billingInternal,,{}CoCtA1A2,,addressCoCtA1A2,
address,billingInternal,,{}CoPcStCtA1A2,,addressCoPcStCtA1A2,
address,billingInternal,,{}CoPvCtDtA1A2Pc,,addressCoPvCtDtA1A2Pc,
address,billingInternal,,{}PcStCtA1A2Co,,addressPcStCtA1A2Co,
profile,consumerPrerequisites,add,,,profilePrerequisitesDisplayDescription,profileStrings
profile,consumerPrerequisites,update,,,profilePrerequisitesDisplayDescription,profileStrings
taxId,brazil_cpf_id,,,,taxCpf,
taxId,brazil_cnpj_id,,,,taxCnpj,
taxId,vat_id,,,,taxVatId,
taxId,india_state_gst_in_id,,,,taxIndiaStateGstId,
taxId,india_pan_id,,,,taxIndiaPanId,
taxId,canadian_federal_exempt,,,,taxCanadianFederalExempt,
taxId,canadian_provincial_exempt,,,,taxCanadianProvinceExempt,
taxId,us_exempt,,,,taxUsExempt,
