PropertyHintId,CountryIds,TagKey,TagValue
expiryMonth,,theme,windows
,,accessibilityName,Expiration month
expiryYear,,theme,windows
,,accessibilityName,Expiration year
addressState,,theme,windows
,,accessibilityName,State
,,col-6,col-6
addressProvince,{}AddressProvinceM,accessibilityName,Province
,{}AddressProvinceM,theme,windows
,{}AddressProvinceM,col-6,col-6
addressProvince,{}AddressProvinceO,accessibilityName,Province (Optional)
,{}AddressProvinceO,theme,windows
,{}AddressProvinceO,col-6,col-6
addressProvince,CA,accessibilityName,Province
,CA,theme,windows
,CA,col-6,col-6
addressProvince,fr,accessibilityName,Department (Optional)
,fr,theme,windows
,fr,col-6,col-6
addressProvince,CN,accessibilityName,Province
,CN,theme,windows
,CN,col-6,col-6
addressProvince,ES,accessibilityName,Province
,ES,theme,windows
,ES,col-6,col-6
addressProvince,bs,accessibilityName,Province (Optional)
,bs,theme,windows
,bs,col-6,col-6
addressProvince,bz,accessibilityName,Province
,bz,theme,windows
,bz,col-6,col-6
addressProvince,cr,accessibilityName,Province
,cr,theme,windows
,cr,col-6,col-6
addressProvince,hn,accessibilityName,Province
,hn,theme,windows
,hn,col-6,col-6
addressProvince,jm,accessibilityName,Province
,jm,theme,windows
,jm,col-6,col-6
addressProvince,tr,accessibilityName,Province (Optional)
,tr,theme,windows
,tr,col-6,col-6
addressProvince,ve,accessibilityName,Province (Optional)
,ve,theme,windows
,ve,col-6,col-6
addressCountry,,theme,windows
,,accessibilityName,Country/Region
,,col-6,col-6
addressFirstName,,accessibilityName,First name
,,col-4,col-4
addressMiddleName,,accessibilityName,Middle name
,,col-4,col-4
addressLastName,,accessibilityName,Last name
,,col-4,col-4
addressStateRoobe,,theme,windows
,,accessibilityName,State
,,col-6,col-6
addressProvinceRoobe,{}AddressProvinceM,accessibilityName,Province
,{}AddressProvinceM,theme,windows
,{}AddressProvinceM,col-6,col-6
addressProvinceRoobe,{}AddressProvinceO,accessibilityName,Province (Optional)
,{}AddressProvinceO,theme,windows
,{}AddressProvinceO,col-6,col-6
addressProvinceRoobe,CA,accessibilityName,Province
,CA,theme,windows
,CA,col-6,col-6
addressProvinceRoobe,CN,accessibilityName,Province
,CN,theme,windows
,CN,col-6,col-6
addressProvinceRoobe,ES,accessibilityName,Province
,ES,theme,windows
,ES,col-6,col-6
addressProvinceRoobe,fr,accessibilityName,Department (Optional)
,fr,theme,windows
,fr,col-6,col-6
addressProvinceRoobe,bs,accessibilityName,Province (Optional)
,bs,theme,windows
,bs,col-6,col-6
addressProvinceRoobe,bz,accessibilityName,Province
,bz,theme,windows
,bz,col-6,col-6
addressProvinceRoobe,cr,accessibilityName,Province
,cr,theme,windows
,cr,col-6,col-6
addressProvinceRoobe,hn,accessibilityName,Province
,hn,theme,windows
,hn,col-6,col-6
addressProvinceRoobe,jm,accessibilityName,Province
,jm,theme,windows
,jm,col-6,col-6
