PropertyHintId,CountryIds,TagKey,TagValue
expiryMonth,,theme,windows
,,accessibilityName,Expiration month
expiryYear,,theme,windows
,,accessibilityName,Expiration year
addressState,,theme,windows
,,accessibilityName,State
addressStateAfterPostalCode,JP,theme,windows
,,accessibilityName,State
addressStateAfterPostalCode,NL,theme,windows
,,accessibilityName,State
addressProvince,{}AddressProvinceM,accessibilityName,Province
,{}AddressProvinceM,theme,windows
addressProvince,{}AddressProvinceO,accessibilityName,Province (Optional)
,{}AddressProvinceO,theme,windows
addressProvince,CA,accessibilityName,Province
,CA,theme,windows
addressInlineGroupProvince,fr,accessibilityName,Department (Optional)
,fr,theme,windows
addressInlineGroupProvince,NL,accessibilityName,State *
addressProvince,CN,accessibilityName,Province
,CN,theme,windows
addressProvinceAfterCountry,CN,accessibilityName,Province
,CN,theme,windows
addressProvince,ES,accessibilityName,Province
,ES,theme,windows
addressProvince,bs,accessibilityName,Province (Optional)
,bs,theme,windows
addressProvince,bz,accessibilityName,Province
,bz,theme,windows
addressProvince,cr,accessibilityName,Province
,cr,theme,windows
addressProvince,hn,accessibilityName,Province
,hn,theme,windows
addressProvince,jm,accessibilityName,Province
,jm,theme,windows
addressProvince,tr,accessibilityName,Province (Optional)
,tr,theme,windows
addressProvince,ve,accessibilityName,Province (Optional)
,ve,theme,windows
addressCountry,,theme,windows
,,accessibilityName,Country/Region
addressCountrySolo,,theme,windows
,,accessibilityName,Country/Region
addressCountryAfterCity,,theme,windows
,,accessibilityName,Country/Region
addressCountryBeforeCity,,theme,windows
,,accessibilityName,Country/Region
addressCountryAfterState,,theme,windows
,,accessibilityName,Country/Region
addressCountryBeforeSetDefault,,theme,windows
,,accessibilityName,Country/Region
idealBillingAgreementSelectBank,,theme,windows
,,full-height,full-height
creditCardVisaLogo,,accessibilityName,Visa logo
,,logoBlock,logoBlock
,,help.closeButtonAccessibilityName,Close
,,help.accessibilityName,Card Logos
creditCardAmexLogo,,accessibilityName,American Express logo
,,logoBlock,logoBlock
,,help.closeButtonAccessibilityName,Close
,,help.accessibilityName,Card Logos
creditCardMCLogo,,accessibilityName,MasterCard logo
,,logoBlock,logoBlock
,,help.closeButtonAccessibilityName,Close
,,help.accessibilityName,Card Logos
creditCardDiscoverLogo,,accessibilityName,Discover Network logo
,,logoBlock,logoBlock
,,help.closeButtonAccessibilityName,Close
,,help.accessibilityName,Card Logos
creditCardJCBLogo,,accessibilityName,JCB logo
,,logoBlock,logoBlock
,,help.closeButtonAccessibilityName,Close
,,help.accessibilityName,Card Logos
creditCardHiperLogo,,accessibilityName,Hipercard logo
,,logoBlock,logoBlock
,,help.closeButtonAccessibilityName,Close
,,help.accessibilityName,Card Logos
creditCardShinhanLogo,,accessibilityName,Shinhan logo
,,logoBlock,logoBlock
,,help.closeButtonAccessibilityName,Close
,,help.accessibilityName,Card Logos
creditCardBCLogo,,accessibilityName,BC logo
