CountryId,Scenario,TaxIds,Enabled
br,commercial_tax_id,brazil_cnpj_id,
br,consumer_tax_id,brazil_cpf_id,
pt,consumer_tax_id,vat_id,
tw,consumer_tax_id,vat_id,
in,commercial_tax_id,india_state_gst_in_id,
in,commercial_tax_id,india_pan_id,
ca,commercial_tax_id,canadian_federal_exempt,false
ca,commercial_tax_id,canadian_provincial_exempt,false
us,commercial_tax_id,us_exempt,false
kr,commercial_tax_id,vat_id,
tw,commercial_tax_id,vat_id,
li,commercial_tax_id,vat_id,
no,commercial_tax_id,vat_id,
za,commercial_tax_id,vat_id,
ch,commercial_tax_id,vat_id,
at,commercial_tax_id,vat_id,
be,commercial_tax_id,vat_id,
bg,commercial_tax_id,vat_id,
hr,commercial_tax_id,vat_id,
cy,commercial_tax_id,vat_id,
cz,commercial_tax_id,vat_id,
dk,commercial_tax_id,vat_id,
ee,commercial_tax_id,vat_id,
fi,commercial_tax_id,vat_id,
fr,commercial_tax_id,vat_id,
de,commercial_tax_id,vat_id,
gr,commercial_tax_id,vat_id,
hu,commercial_tax_id,vat_id,
ie,commercial_tax_id,vat_id,
it,commercial_tax_id,vat_id,
it,commercial_tax_id,national_identification_number,
lv,commercial_tax_id,vat_id,
lt,commercial_tax_id,vat_id,
lu,commercial_tax_id,vat_id,
mt,commercial_tax_id,vat_id,
nl,commercial_tax_id,vat_id,
pl,commercial_tax_id,vat_id,
pt,commercial_tax_id,vat_id,
ro,commercial_tax_id,vat_id,
sk,commercial_tax_id,vat_id,
si,commercial_tax_id,vat_id,
es,commercial_tax_id,vat_id,
se,commercial_tax_id,vat_id,
gb,commercial_tax_id,vat_id,
im,commercial_tax_id,vat_id,
mc,commercial_tax_id,vat_id,
au,commercial_tax_id,vat_id,
nz,commercial_tax_id,vat_id,
ae,commercial_tax_id,vat_id,
sa,commercial_tax_id,vat_id,
tr,commercial_tax_id,vat_id,
bs,commercial_tax_id,vat_id,
rs,commercial_tax_id,vat_id,
co,commercial_tax_id,vat_id,
am,commercial_tax_id,vat_id,
by,commercial_tax_id,vat_id,
bd,commercial_tax_id,vat_id,
my,commercial_tax_id,vat_id,
cl,commercial_tax_id,vat_id,
mx,commercial_tax_id,vat_id,
id,commercial_tax_id,vat_id,
th,commercial_tax_id,vat_id,
bh,commercial_tax_id,vat_id,
cm,commercial_tax_id,vat_id,
ge,commercial_tax_id,vat_id,
gh,commercial_tax_id,vat_id,
is,commercial_tax_id,vat_id,
ke,commercial_tax_id,vat_id,
md,commercial_tax_id,vat_id,
ng,commercial_tax_id,vat_id,
om,commercial_tax_id,vat_id,
tj,commercial_tax_id,vat_id,
ua,commercial_tax_id,vat_id,
uz,commercial_tax_id,vat_id,
zw,commercial_tax_id,vat_id,
fj,commercial_tax_id,vat_id,
gt,commercial_tax_id,vat_id,
kh,commercial_tax_id,vat_id,
ph,commercial_tax_id,vat_id,
vn,commercial_tax_id,vat_id,
bb,commercial_tax_id,vat_id,
il,commercial_tax_id,vat_id,
kz,commercial_tax_id,vat_id,
la,commercial_tax_id,vat_id,
np,commercial_tax_id,vat_id,
sg,commercial_tax_id,vat_id,
ug,commercial_tax_id,vat_id,
eg,commercial_tax_id,vat_id,
eg,commercial_tax_id,egypt_national_identification_number,
zm,commercial_tax_id,vat_id,
ci,commercial_tax_id,vat_id,
gh,commercial_tax_id,vat_id,
sn,commercial_tax_id,vat_id,
