Url,Resource Name,Identity,Country,Language,Partner,Operation,Scenario,Filter,AllowedPaymentMethods,DeltaType/Description,Path,In SelfHost,In SelfHost,SelfHost Response,SelfHost Response,PI State,PI Scenario,Data,Triage
users/me/paymentMethodDescriptions?country=kr&family=ewallet&type=kakaopay&language=en-us&partner=storify&operation=add,paymentMethodDescriptions,ewallet.kakaopay,kr,en-us,storify,add,,,,Baseline Failed: BadRequest,,,,400,400,None,,"{""CorrelationId"":""e2a44a23-1fde-4085-8ad2-2c579d58682a"",""ErrorCode"":""PaymentMethodFamilyIsNotSupportedForStoreInCountry"",""Message"":""No results found for PaymentMethodFamily and PaymentMethodType for the provided country.""}","[v-pranshinde, Rebase diff test 08182025]"
users/me/paymentMethodDescriptions?country=kr&family=ewallet&type=kakaopay&language=en-us&partner=xboxsubs&operation=add,paymentMethodDescriptions,ewallet.kakaopay,kr,en-us,xboxsubs,add,,,,Baseline Failed: BadRequest,,,,400,400,None,,"{""CorrelationId"":""597ad940-be53-4a8a-b9e4-b28688a0685f"",""ErrorCode"":""PaymentMethodFamilyIsNotSupportedForStoreInCountry"",""Message"":""No results found for PaymentMethodFamily and PaymentMethodType for the provided country.""}","[v-pranshinde, Rebase diff test 08182025]"
users/me/paymentMethodDescriptions?country=kr&family=ewallet&type=kakaopay&language=en-us&partner=storify&operation=add,paymentMethodDescriptions,ewallet.kakaopay,kr,en-us,storify,add,,,,Baseline Failed: BadRequest,,,,400,400,None,,"{""CorrelationId"":""83894e0d-0101-4f6a-a806-c5dcb66465cc"",""ErrorCode"":""PaymentMethodFamilyIsNotSupportedForStoreInCountry"",""Message"":""No results found for PaymentMethodFamily and PaymentMethodType for the provided country.""}","[v-pranshinde, Rebase diff test 08182025]"
users/me/paymentMethodDescriptions?country=kr&family=ewallet&type=kakaopay&language=en-us&partner=saturn&operation=add,paymentMethodDescriptions,ewallet.kakaopay,kr,en-us,saturn,add,,,,Baseline Failed: BadRequest,,,,400,400,None,,"{""CorrelationId"":""acc4d426-b1fc-4ed2-bfe7-35550f390ef6"",""ErrorCode"":""PaymentMethodFamilyIsNotSupportedForStoreInCountry"",""Message"":""No results found for PaymentMethodFamily and PaymentMethodType for the provided country.""}","[v-pranshinde, Rebase diff test 08182025]"
users/me/paymentMethodDescriptions?country=kr&family=ewallet&type=kakaopay&language=en-us&partner=xboxsettings&operation=add,paymentMethodDescriptions,ewallet.kakaopay,kr,en-us,xboxsettings,add,,,,Baseline Failed: BadRequest,,,,400,400,None,,"{""CorrelationId"":""b323fd06-82dc-4958-ad58-1b5d464eec73"",""ErrorCode"":""PaymentMethodFamilyIsNotSupportedForStoreInCountry"",""Message"":""No results found for PaymentMethodFamily and PaymentMethodType for the provided country.""}","[v-pranshinde, Rebase diff test 08182025]"
users/me/paymentMethodDescriptions?country=kr&family=ewallet&type=kakaopay&language=en-us&partner=saturn&operation=add,paymentMethodDescriptions,ewallet.kakaopay,kr,en-us,saturn,add,,,,Baseline Failed: BadRequest,,,,400,400,None,,"{""CorrelationId"":""6031eda6-9dd5-4a81-beea-b77b6fbca438"",""ErrorCode"":""PaymentMethodFamilyIsNotSupportedForStoreInCountry"",""Message"":""No results found for PaymentMethodFamily and PaymentMethodType for the provided country.""}","[v-pranshinde, Rebase diff test 08182025]"
users/me/paymentMethodDescriptions?country=kr&family=ewallet&type=kakaopay&language=en-us&partner=xboxsettings&operation=add,paymentMethodDescriptions,ewallet.kakaopay,kr,en-us,xboxsettings,add,,,,Baseline Failed: BadRequest,,,,400,400,None,,"{""CorrelationId"":""40fe187c-1423-489e-963d-7f996e84bae9"",""ErrorCode"":""PaymentMethodFamilyIsNotSupportedForStoreInCountry"",""Message"":""No results found for PaymentMethodFamily and PaymentMethodType for the provided country.""}","[v-pranshinde, Rebase diff test 08182025]"
users/me/paymentMethodDescriptions?country=us&family=credit_card&language=en-US&partner=xboxsettings&operation=update,paymentMethodDescriptions,credit_card,us,en-US,xboxsettings,update,,,,Baseline Failed: BadRequest,,,,400,400,None,,"{""CorrelationId"":""8054aa99-9e1b-4b9b-8625-88198d9de0b6"",""ErrorCode"":""PaymentMethodFamilyIsNotSupportedForStoreInCountry"",""Message"":""No results found for PaymentMethodFamily and PaymentMethodType for the provided country.""}","[v-pranshinde, Rebase diff test 08182025]"
users/me/paymentMethodDescriptions?country=kr&family=ewallet&type=kakaopay&language=en-us&partner=xboxsubs&operation=add,paymentMethodDescriptions,ewallet.kakaopay,kr,en-us,xboxsubs,add,,,,Baseline Failed: BadRequest,,,,400,400,None,,"{""CorrelationId"":""a931590d-9f3a-4291-a53c-3ae027efa65a"",""ErrorCode"":""PaymentMethodFamilyIsNotSupportedForStoreInCountry"",""Message"":""No results found for PaymentMethodFamily and PaymentMethodType for the provided country.""}","[v-pranshinde, Rebase diff test 08182025]"
users/me/paymentMethodDescriptions?country=us&family=credit_card&type=visa&language=en-US&partner=xboxsettings&operation=update,paymentMethodDescriptions,credit_card.visa,us,en-US,xboxsettings,update,,,,Baseline Failed: BadRequest,,,,400,400,None,,"{""CorrelationId"":""db339e8b-6e89-40af-8731-2b40bd923d5a"",""ErrorCode"":""PaymentMethodFamilyIsNotSupportedForStoreInCountry"",""Message"":""No results found for PaymentMethodFamily and PaymentMethodType for the provided country.""}","[v-pranshinde, Rebase diff test 08182025]"
