Url,Resource Name,Identity,Country,Language,Partner,Operation,Scenario,Filter,AllowedPaymentMethods,DeltaType/Description,Path,In SelfHost,In SelfHost,SelfHost Response,SelfHost Response,PI State,PI Scenario,Data,Triage
users/me/paymentMethodDescriptions?country=de&family=direct_debit&type=sepa&language=en-us&partner=commercialstores&operation=add,paymentMethodDescriptions,direct_debit.sepa,de,en-us,commercialstores,add,,,,Edited,[0].displayDescription[0].members[5].displayContent,You'll be redirected to complete the signing process.,"You'll be redirected to verify your bank account. After that step, you'll be redirected back to Microsoft. If verification is successful, sign the SEPA Direct Debit Mandate and you're done.",200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
users/me/paymentMethodDescriptions?country=de&family=direct_debit&type=sepa&language=en-us&partner=commercialstores&operation=add,paymentMethodDescriptions,direct_debit.sepa,de,en-us,commercialstores,add,,,,Edited,[0].displayDescription[0].members[5].displayId,directDebitSepaDocuSignText,directDebitSepaUpdateNewLine1,200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
users/me/paymentMethodDescriptions?country=de&family=direct_debit&type=sepa&language=en-us&partner=cart&operation=add,paymentMethodDescriptions,direct_debit.sepa,de,en-us,cart,add,,,,Edited,[0].displayDescription[0].members[0].displayContent,SEPA direct debit,Set up to pay by SEPA direct debit,200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
users/me/paymentMethodDescriptions?country=de&family=direct_debit&type=sepa&language=en-us&partner=cart&operation=add,paymentMethodDescriptions,direct_debit.sepa,de,en-us,cart,add,,,,Edited,[0].displayDescription[0].members[0].displayId,addDirectDebitSepaText,addDirectDebitSepaNewHeading,200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
users/me/paymentMethodDescriptions?country=de&family=direct_debit&type=sepa&language=en-us&partner=cart&operation=add,paymentMethodDescriptions,direct_debit.sepa,de,en-us,cart,add,,,,Deleted,[0].displayDescription[0].members[0].tags,"{    ""font"": ""heading-2""  }",,200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
users/me/paymentMethodDescriptions?country=de&family=direct_debit&type=sepa&language=en-us&partner=cart&operation=add,paymentMethodDescriptions,direct_debit.sepa,de,en-us,cart,add,,,,Edited,[0].displayDescription[1].members[4].displayContent,You'll be redirected to complete the signing process.,"You'll be redirected to verify your bank account. After that step, you'll be redirected back to Microsoft. If verification is successful, sign the SEPA Direct Debit Mandate and you're done.",200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
users/me/paymentMethodDescriptions?country=de&family=direct_debit&type=sepa&language=en-us&partner=cart&operation=add,paymentMethodDescriptions,direct_debit.sepa,de,en-us,cart,add,,,,Edited,[0].displayDescription[1].members[4].displayId,directDebitSepaDocuSignText,directDebitSepaUpdateNewLine1,200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
users/me/paymentMethodDescriptions?country=de&family=direct_debit&type=sepa&language=en-us&partner=defaulttemplate&operation=add,paymentMethodDescriptions,direct_debit.sepa,de,en-us,defaulttemplate,add,,,,Deleted,[0].displayDescription[0].members[0],"{    ""displayContent"": ""Set up a SEPA Direct debit account"",    ""displayId"": ""addDirectDebitSepaHeading"",    ""displayType"": ""heading""  }",,200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
users/me/paymentMethodDescriptions?country=de&family=direct_debit&type=sepa&language=en-us&partner=defaulttemplate&operation=add,paymentMethodDescriptions,direct_debit.sepa,de,en-us,defaulttemplate,add,,,,Added,[0].displayDescription[0].members[0],,"{    ""displayContent"": ""Set up to pay by SEPA direct debit"",    ""displayId"": ""addDirectDebitSepaNewHeading"",    ""displayType"": ""heading""  }",200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
users/me/paymentMethodDescriptions?country=de&family=direct_debit&type=sepa&language=en-us&partner=defaulttemplate&operation=add,paymentMethodDescriptions,direct_debit.sepa,de,en-us,defaulttemplate,add,,,,Added,[0].displayDescription[0].members[10],,"{    ""displayContent"": ""You'll be redirected to verify your bank account. After that step, you'll be redirected back to Microsoft. If verification is successful, sign the SEPA Direct Debit Mandate and you're done."",    ""displayId"": ""directDebitSepaUpdateNewLine1"",    ""displayType"": ""text""  }",200,200,None,,,[souravsharma - Expected changes due to sepa jpmc cleanup PR  13233874]
